situation,thought,reframe,thinking_traps_addressed
Having problems coming up with words to write essay.,I will get a bad grade.,"I'm feeling anxious about this assignment. I can use skills to calm myself, try my best on the essay, ask for any appropriate help, and whatever grade I get I will know that I tried my hardest.","fortune telling,catastrophizing,all-or-nothing thinking"
Having problems coming up with words to write essay.,I will get a bad grade.,I'm having trouble writing this essay but will do my best.,"fortune telling,magnification"
"I actually cannot help it on my own. No matter how hard I try, looking at the bright side of things, logically trying to reason things out, giving myself the benefit of the doubt.. Everything is driving me up the wall. Anger, frustration, sadness, you name it. It's like everything I was able to blow off before is just hitting straight at me and it's relentless.",Everything driving me nuts...,My emotions are valid but I am in control of them.,blaming
"I actually cannot help it on my own. No matter how hard I try, looking at the bright side of things, logically trying to reason things out, giving myself the benefit of the doubt.. Everything is driving me up the wall. Anger, frustration, sadness, you name it. It's like everything I was able to blow off before is just hitting straight at me and it's relentless.",Everything driving me nuts...,I'm really emotional about a lot of things right now. I wonder if it truly is EVERYTHING that's driving me nuts or if it's 1 or 2 big things that are causing me to blow up at everything.,none
"I always do the wrong thing, I always make mistakes",I hate myself,I have made some good decisions with positive results in the past and will do so again.  This situation is not indicative of my overall worth.,all-or-nothing thinking
"I always do the wrong thing, I always make mistakes",I hate myself,"I have been under a lot of stress and taken on more than I can handle.  This is impairing my ability to make good decisions.  I may feel negative about myself right now, but I can get this under control of my responsibilities and ask for help.",labeling
I am alone none understands,Can not move have so much to do mind numb,"I may feel that I am unable to move and get things done, but I was able to get dressed and eat breakfast today.",negative feeling or emotion
I am alone none understands,Can not move have so much to do mind numb,I feel numb and alone right now and think no one can understand how I feel.  This is a temporary situation that will pass.,negative feeling or emotion
"I am at a party where I do not know very many people. When I try to talk to a stranger, he gives one word replies and then ignores me. .",I am being annoying.,I'm noticing that I feel socially anxious based on this person's response. They could be responding like this for many reasons. I can calm myself and try to have a conversation with someone else.,emotional reasoning
"I am at a party where I do not know very many people. When I try to talk to a stranger, he gives one word replies and then ignores me. .",I am being annoying.,I'm not having a connection with the person at this party.,"mind reading,emotional reasoning"
"I am quite fond of a coworker and decide to talk to them. I offer up the idea that it might be fun to go out together sometime, and they respond with the fact they are too busy.",I'm not attractive or have a good enough personality.,My feeling are hurt after getting rejected like that. It could be true that they are too busy or maybe there are other reasons they don't want to go out with me. I can't know for sure but I will get over this and find a good match for me.,"labeling,negative feeling or emotion,mind reading,personalizing"
"I am quite fond of a coworker and decide to talk to them. I offer up the idea that it might be fun to go out together sometime, and they respond with the fact they are too busy.",I'm not attractive or have a good enough personality.,Wow. If this person is so busy that they don't have time to go out I really feel bad for them.,personalizing
I am single and isolated,im unlovable,Just because I’m still single doesn’t make me not lovable,labeling
I am single and isolated,im unlovable,I just haven’t been able to get out more in healthy places to meet healthy mates,negative feeling or emotion
I am trying to diet but I gained weight this week.,I don't have the discipline to diet.,I am having difficulty losing weight but I can stay dedicated to the process.,all-or-nothing thinking
I am trying to diet but I gained weight this week.,I don't have the discipline to diet.,I am determined to reach this goal and will find ways to develop the willpower to do so.,disqualifying the positive
I am trying to help my son pay his bills and find a job.,He does not appreciate anything I do for him.,"I can't anticipate all of my son's needs, and he needs to ask for help when he needs it.","overgeneralizing,all-or-nothing thinking,blaming"
I am trying to help my son pay his bills and find a job.,He does not appreciate anything I do for him.,I can't assume what my son needs or wants. I want to ask him how I can be supportive of his needs.,"overgeneralizing,all-or-nothing thinking,blaming"
I am trying to write up an essay and can't think of anything,I'm wasting all my time,Each minute of thinking is bringing me closer to what I want to write. Don't think this is a waste of time as such,all-or-nothing thinking
I am trying to write up an essay and can't think of anything,I'm wasting all my time,I may have wasted time. But now I know which directions do not work and which ones I should prioritize,all-or-nothing thinking
I am unable to give my children any time,A good mother spends time with her kids on some activity every night,"A good mother regularly spends time with her kids. I'm not the best mother, but not bad either",overgeneralizing
I am unable to give my children any time,A good mother spends time with her kids on some activity every night,"I spend some time when I can and want to, but it isn't feasible always",overgeneralizing
I am under appreciated at work,Self worth,I may not always get a raise or promotion every year but it does not mean I’m worthless and under appreciated It May be because of external reasons outside the company’s control,comparing and despairing
I am under appreciated at work,Self worth,Just because work folks are working hard and are quietly working doesn’t mean they don’t realize my team player role and appreciate my part in the team effort,none
I am walking down the street in a new red jeans and a stranger looked at the jeans,I should have never worn these jeans and stick to blue ones,These jeans look great and I can wear them whenever I want,should statements
I am walking down the street in a new red jeans and a stranger looked at the jeans,I should have never worn these jeans and stick to blue ones,What I wear is completely up to me. I should not pressurize myself about what I ought to have done,should statements
I applied for a job and just got a call saying I didn't get the job.,I am not good enough for anyone.,Being rejected is hard but I'm proud of myself for taking the steps and will try again.,"labeling,all-or-nothing thinking"
I applied for a job and just got a call saying I didn't get the job.,I am not good enough for anyone.,I feel hurt and sad that I didn't get the job but there could be many reasons I didn't get it and I will work to find the right fit for me.,"labeling,overgeneralizing"
I applied for a new part-time position and took the qualifying exam but didn't pass because they  changed some of the guidelines for the job. They warned us beforehand that this may happen in the hiring process.,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"I prepared for this exam, but the material wasn't known to me. I may not have been able to prepare better than I had.","blaming,should statements"
I applied for a new part-time position and took the qualifying exam but didn't pass because they  changed some of the guidelines for the job. They warned us beforehand that this may happen in the hiring process.,I thought that I should have studied harder. If I knew enough information I would pass no matter how the standards changed. It was my fault I didn't try hard enough and was furious with myself,"I didn't know what would be on the exam, and it wasn't clear how I should have prepared better.","personalizing,blaming,should statements"
"I applied for a promotion but was told I haven't shown the necessary ambition yet. This happened at work where I always go the extra mile, stay late, and even work when I'm not being paid. I feel like the response to my request for a promotion was inaccurate and that I am being taken advantage of because nothing I could do is enough. I was denied the promotion by the department head who is a woman that seems to always talk down to and be rude to men at the company.","I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.",I should acknowledge how hard I am working. My hard work and determination will help me get a promotion in the future. I just need to be patient.,disqualifying the positive
"I applied for a promotion but was told I haven't shown the necessary ambition yet. This happened at work where I always go the extra mile, stay late, and even work when I'm not being paid. I feel like the response to my request for a promotion was inaccurate and that I am being taken advantage of because nothing I could do is enough. I was denied the promotion by the department head who is a woman that seems to always talk down to and be rude to men at the company.","I felt as if my talents and efforts were being unrecognized by the company yet they are perfectly happy to accept all of my hard work, just not pay me what I deserve for it.","Maybe there was a different candidate who deserved the promotion more than I did. I should ask the company for some feedback. Maybe it is not so personal, maybe there was just somebody who deserved it more.",personalizing
I ask out a co-worker who I became fond of recently but was turned down.,I won't find someone I can be with,"It hurt to be rejected and I feel lonely not having found my person yet, but I will stay open minded and put myself out there and do my best to find a good fit for me.","catastrophizing,all-or-nothing thinking"
I ask out a co-worker who I became fond of recently but was turned down.,I won't find someone I can be with,I'm sad I don't get to be with that person but I will eventually find the right match.,"fortune telling,catastrophizing,all-or-nothing thinking,emotional reasoning"
I ask out a co-worker who I became fond of recently but was turned down.,I'm not good enough for her.,I feel sad that she turned me down but maybe this is for the best.,"negative feeling or emotion,emotional reasoning"
I ask out a co-worker who I became fond of recently but was turned down.,I'm not good enough for her.,Getting rejected hurts. There are many reasons she could have said no. I'll recover and eventually find the person who is right for me.,"negative feeling or emotion,mind reading,personalizing"
"I asked my daughter a question, and she responded in a snotty way.",She doesn't love me like she used to.,Kids say snappy things to their parents all the time. It doesn't mean I'm a bad parent or that she doesn't love me.,"personalizing,labeling"
"I asked my daughter a question, and she responded in a snotty way.",She doesn't love me like she used to.,My daughter may have not liked the question I asked or is going through something emotionally. I should ask if she wants to talk about what's going on with her.,"personalizing,labeling"
"I asked my husband to get me wine on the way home from work, but he forgot.",He is selfish,"My husband probably had a busy day at work and that is why he forgot. I should have reminded him, but that's OK, I can just get the wine tomorrow.",labeling
"I asked my husband to get me wine on the way home from work, but he forgot.",He is selfish,My husband would usually remember these things. Maybe he had a bad or a busy day. I should ask him how his day was before I jump to  conclusions.,labeling
I became very stressed out after getting a bad score on a quiz,My grades are important and I did poorly,This is just one test that contributes to my overall grade.,disqualifying the positive
I became very stressed out after getting a bad score on a quiz,My grades are important and I did poorly,I will calm down before the next test.,"disqualifying the positive,none"
I burnt the potatoes while cooking,I should have been perfect,I am putting unnecessary pressure on myself. It is not possible for things to be perfect and having unrealistic standards will only make me feel bad about myself,should statements
I burnt the potatoes while cooking,I should have been perfect,"I could have been perfect, but rest of the food is still great anyways",should statements
I called a woman I love by accident during a bad time,She will never love me now,This woman could have thought it was not a bad time. I can share my uncertainty with her and go from there,"fortune telling,catastrophizing,mind reading"
I called a woman I love by accident during a bad time,She will never love me now,I do not know how she felt about this call and can express that it was a mistake to her,mind reading
"I called an old friend, but she wasn't home and didn't return my call.",Maybe she doesn't want to talk to me anymore.,I hope my friend is okay. I will let her know she can call me for support or to talk if she needs it.,"mind reading,fortune telling"
"I called an old friend, but she wasn't home and didn't return my call.",Maybe she doesn't want to talk to me anymore.,Maybe my friend has a lot going on. She will call me back when she is free to talk.,"mind reading,fortune telling"
I called my friend three times this past week but she hasn't answered or called/messaged me back yet.,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,Maybe my friend is busy with work or school. She will probably contact me when she gets a chance. It probably has nothing to do with me.,mind reading
I called my friend three times this past week but she hasn't answered or called/messaged me back yet.,Maybe she doesn't really like me as much as I thought and like her. Maybe I'm awkward.,My friend is probably busy and wants to respond when she has more time to talk to me.,mind reading
I came home to find my spouse had taken all of his things and left a note saying our marriage was over.,My marriage is over.,There are serious issues in my marriage that need to be addressed. This might be the end of our marriage or maybe we can find a way to work to rehabilitate it.,catastrophizing
I came home to find my spouse had taken all of his things and left a note saying our marriage was over.,My marriage is over.,"I am feeling a lot of grief and panic about what this means. If it's the right thing to do, I will work hard to fix this relationship.","overgeneralizing,negative feeling or emotion"
"I can feel everyone becoming distant with me, including my boyfriend. He just cheated on me not even a week ago and i cant bring myself to leave him no matter what he does. He does not care. I have no family, i only ever had him. Im annoying and i am never happy with anything and i hate myself for it because i want to be happy and i want to be a good person. I can feel my heart breaking more and more as i cone to the realization that i am not wanted nor needed.",I am a problem.,I am not a problem. I should reconnect with some friends because I feel like I'm distant from them.,labeling
"I can feel everyone becoming distant with me, including my boyfriend. He just cheated on me not even a week ago and i cant bring myself to leave him no matter what he does. He does not care. I have no family, i only ever had him. Im annoying and i am never happy with anything and i hate myself for it because i want to be happy and i want to be a good person. I can feel my heart breaking more and more as i cone to the realization that i am not wanted nor needed.",I am a problem.,"My boyfriend who cheated is the problem, not me.",labeling
I can't do anything right and I'm crying over spilling cereal on my bed and dress,I'm worthless,Spills are a natural part of life,all-or-nothing thinking
I can't do anything right and I'm crying over spilling cereal on my bed and dress,I'm worthless,I am not a failure for spilling something,catastrophizing
"I cant work out what my real personality is because my opinions and moods change all the time and Its like I change into different personalities kind of but its not different conciousmesses its just i dont know how to explain it but I think im insane because I dont know much about who I am because who I am changes and it can change very fast, is this normal?",i have no stable identity and I dont know why or if its normal,"It can be scary to feel like I have no identity, but I do have one whether or not I'm aware of it.",overgeneralizing
"I cant work out what my real personality is because my opinions and moods change all the time and Its like I change into different personalities kind of but its not different conciousmesses its just i dont know how to explain it but I think im insane because I dont know much about who I am because who I am changes and it can change very fast, is this normal?",i have no stable identity and I dont know why or if its normal,It's ok to not know my exact identity. That is normal.,overgeneralizing
I completely overreacted to my teenage son's grades.,Why isn't this kid applying himself?,"My son may be trying his best, but may have other things going on. I should try to talk to him to make sure there is nothing he is struggling with. I do not want me son to feel alone.",all-or-nothing thinking
I completely overreacted to my teenage son's grades.,Why isn't this kid applying himself?,"Maybe my son is having a hard time this year. Instead of blaming him for his grades, I should try to talk to him about possibly getting a tutor. He may need some extra help outside of class, but this doesn't mean he is not trying.",overgeneralizing
"I confronted a coworker about eating my food from the refrigerator, only to realize the custodians threw away my food the night before.",My coworkers are making fun of me now,I don't know what my coworkers are thinking but they likely have more going on today than thinking about these conversations we had earlier.,"mind reading,negative feeling or emotion,catastrophizing"
"I confronted a coworker about eating my food from the refrigerator, only to realize the custodians threw away my food the night before.",My coworkers are making fun of me now,It was an accident and misunderstanding. I can't let this take up my entire day. I will just apologize and move on.,"negative feeling or emotion,catastrophizing"
I couldn't find my bank card and realized my husband must have taken it.,He shouldn't have taken it without asking me first.,"I can ask my partner if he has my bank card, and ask for their help in finding it if they don't have it.",blaming
I couldn't find my bank card and realized my husband must have taken it.,He shouldn't have taken it without asking me first.,My bank card could be in many different places and I want to check them first before making any conclusions.,blaming
I couldn't finish the task in time,I'm incompetent,"I may be ""incompetent"", but atleast I attempted the task",labeling
I couldn't finish the task in time,I'm incompetent,"I'm not ""incompetent"" as a whole. There are certain skills I possess",labeling
I did badly in a writing contest I entered. I did not final.,I am a bad writer.,"My submission likely had both good and bad. While I did not win this contest, I may win others in the future.",all-or-nothing thinking
I did badly in a writing contest I entered. I did not final.,I am a bad writer.,"This may not have been my best work, but that doesn't mean I am a bad writer.","labeling,overgeneralizing"
I did nothing with my day,Don't feel like I deserve fun/enjoyment,I still deserve fun and enjoyment even if I did not have a productive day.,all-or-nothing thinking
I did nothing with my day,Don't feel like I deserve fun/enjoyment,It is ok to take a day off and rest.,all-or-nothing thinking
I did things that made my group look bad,They hate me.,What I do affects the group,"mind reading,negative feeling or emotion,fortune telling,magnification"
I did things that made my group look bad,They hate me.,I need to be more aware of my groups needs,"mind reading,overgeneralizing,fortune telling,personalizing,magnification"
I didn't complete the tasks that I had written down earlier today.,Getting abused was my fault,"I didn't do everything I had hoped to, but I did accomplish some things. Even rest is an accomplishment.",disqualifying the positive
I didn't complete the tasks that I had written down earlier today.,Getting abused was my fault,"I feel disappointed today, but I can learn from my mistakes and plan better in the future.",fortune telling
I didn't get as good of feedback on a work assignment as I wanted,I didn't do as good a job as I thought,I did the best I could in the moment,disqualifying the positive
I didn't get as good of feedback on a work assignment as I wanted,I didn't do as good a job as I thought,Some things I did well and other things need work and that is okay.,disqualifying the positive
I do gas stations audits and I messed up and forgot something I was supposed to do,I felt like a failure and am ashamed I made this mistake,Everyone makes mistakes. This is something I can fix.,"all-or-nothing thinking,negative feeling or emotion"
I do gas stations audits and I messed up and forgot something I was supposed to do,I felt like a failure and am ashamed I made this mistake,It makes sense I am ashamed about this mistake. I will fix it.,negative feeling or emotion
I don't know why I am writing the essay,Nobody cares what I have to say,"Many people don't care about what I have to say. However, that is true for the vast majority of written essays",overgeneralizing
I don't know why I am writing the essay,Nobody cares what I have to say,Not true! People care what I have to say. My previous essay was well received,overgeneralizing
"I don't work. I rely heavily on my partner, I'm so easily scared",I am a burden.,"I may feel like a burden, but my partner has repeatedly told me that I am not. I want to believe them.",labeling
"I don't work. I rely heavily on my partner, I'm so easily scared",I am a burden.,"I struggle sometimes, but I am not a burden.",labeling
I failed in everything,I'll never be able to do anything,Failure is a part of the process. I can learn and grow from this. I still have time to succeed.,disqualifying the positive
I failed in everything,I'll never be able to do anything,Just because I've failed sometimes in the past doesn't make me a failure. I can learn from my mistakes and do better in the future.,labeling
I failed to convince my son that he should go back to college,I am failing as a parent,"I did the best I could as a parent, and part of that was empowering my child to make their own choices.","labeling,personalizing,catastrophizing"
I failed to convince my son that he should go back to college,I am failing as a parent,"I want my son to make his own choices for his life, and support him. I will see if he'd like to talk with me about what he wants from the future and what kind of support he would like from me.","personalizing,catastrophizing"
I failed to do a work task appropriately in a side-gig.,I won't get paid,I made a mistake this time because I am stretched too thin. Next time I will allocate more time to my side gig so it doesn't get messed up again.,"fortune telling,catastrophizing,negative feeling or emotion"
I failed to do a work task appropriately in a side-gig.,I won't get paid,Just because I made some mistakes doesn't mean I won't be able to fix them and still get paid. I need to check back in to see what can be done to fix this.,"fortune telling,catastrophizing,negative feeling or emotion"
I failed to turn in my planned event calendar by the due date.,I forgot something important. Again. My boss is going to kill me.,I made a mistake but I can learn from this. I will be more efficient with my time next time so to get my work in by the deadline.,"catastrophizing,fortune telling"
I failed to turn in my planned event calendar by the due date.,I forgot something important. Again. My boss is going to kill me.,My boss may talk with me about the tardiness of my work but I will get through it.,"catastrophizing,fortune telling"
I forgot to give my boss an important message when I was at work. The customer who left the message ended up being very angry because they had a problem that needed to be resolved My boss was pretty upset with me and the customer may take his business elsewhere,I feel like a failure,"i'm not a failure, i made a mistake. i hope my boss can forgive me",labeling
I forgot to give my boss an important message when I was at work. The customer who left the message ended up being very angry because they had a problem that needed to be resolved My boss was pretty upset with me and the customer may take his business elsewhere,I feel like a failure,it makes sense that the customer and my boss were upset.,none
"I found a job I thought was perfect for me in the field I used to work in and love very much. A few days after putting in a resume and lining up several references, I found out the job was filled and I didn't even get so much as an acknowledgment of my application much less an interview when I was extremely qualified.",why can't I ever get anything I want,"I get some things I want and some things do not work out, my life is a balance of the two.",all-or-nothing thinking
"I found a job I thought was perfect for me in the field I used to work in and love very much. A few days after putting in a resume and lining up several references, I found out the job was filled and I didn't even get so much as an acknowledgment of my application much less an interview when I was extremely qualified.",why can't I ever get anything I want,There are many reasons why the position could have been filled including it was filled prior to my submission.,overgeneralizing
I gained a little weight while trying to diet,I'm not succeeding,"I may not be succeeding, but I'm making an effort to diet",all-or-nothing thinking
I gained a little weight while trying to diet,I'm not succeeding,I'm going to succeessfully lose weight. A little weight shouldn't affect me,all-or-nothing thinking
I gained weight,I feel like I need to die to be happy.,"There are some things I don't like about myself, but there are also some things I do like about myself. I can focus on those when I feel bad about myself.",disqualifying the positive
I gained weight,I feel like I need to die to be happy.,"My body does some amazing things. I don't always have to love the way it looks, but I can still be grateful for the things my body does for me.",disqualifying the positive
I get so annoyed and frustrated when my baby cries,i am a terrible mom,Being a new mom can be stressful and overwhelming,negative feeling or emotion
I get so annoyed and frustrated when my baby cries,i am a terrible mom,I am exhausted from being a new parent but I’ll get thru this  stage,negative feeling or emotion
I got a parking ticket because my sister forgot to register for overnight parking in front of my house.,I am responsible for her mistakes.,My sister's mistake is not my responsibility.,blaming
I got a parking ticket because my sister forgot to register for overnight parking in front of my house.,I am responsible for her mistakes.,"My sister made a mistake, but that doesn't mean I should be blamed.","blaming,personalizing"
I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme,Why did I overact like this,I was upset by this action and that is okay,catastrophizing
I got excessively angry at my friend for sending stupid pictures of me to a mutual friend. I felt betrayed and that was extreme,Why did I overact like this,I was upset by this and may have reacted rather than responded. I can learn from this for next time,negative feeling or emotion
